Date,Site,Sex,Weight,TailBreak
8/25/89,RABB,F,2,W
8/25/89,WELL,.,.,.
8/25/89,WELL,F,2,W
8/25/89,EAST,F,3,W
8/25/89,WEST,.,.,.
9/1/89,CALI,.,.,.
9/1/89,GRAV,J,.,.
9/1/89,GRAV,J,1,W
9/1/89,SAND,J,2,W
9/1/89,SAND,F,2,W
9/1/89,SAND,M,4,W
9/1/89,BASN,.,.,.
9/1/89,IBPE,.,.,.
9/1/89,IBPE,J,4,W
9/1/89,RABB,F,19,W
9/1/89,RABB,F,2,W
9/1/89,RABB,F,2,W
9/1/89,RABB,F,2,W
9/1/89,WELL,.,.,.
9/1/89,WEST,J,2,W
9/1/89,WEST,J,4,W
9/1/89,WEST,J,1,W
9/1/89,EAST,.,.,.
9/1/89,WEST,.,.,.
9/1/89,WEST,.,.,.
9/27/89,CALI,F,2,W
9/27/89,CALI,J,4,W
9/27/89,GRAV,M,4,W
9/27/89,GRAV,F,3,W
9/27/89,GRAV,F,4,W
9/27/89,GRAV,M,5,W
9/27/89,SAND,M,3,W
9/27/89,SAND,F,2,W
9/27/89,SAND,F,2,B
9/27/89,SAND,M,3,W
9/27/89,SAND,F,2,W
9/27/89,SAND,F,3,W
9/27/89,BASN,F,3,W
9/27/89,BASN,J,1,W
9/27/89,IBPE,F,2,W
9/27/89,IBPE,J,.,.
9/27/89,IBPE,F,3,W
9/27/89,IBPE,M,3,B
9/27/89,IBPE,F,3,W
9/27/89,IBPE,F,4,B
9/27/89,RABB,F,2,W
9/27/89,RABB,F,2,W
9/27/89,RABB,M,5,W
9/27/89,RABB,F,3,W
9/27/89,RABB,M,4,W
9/27/89,RABB,F,3,W
9/27/89,RABB,F,3,W
9/27/89,WELL,F,3,W
9/27/89,WELL,F,3,W
9/27/89,WELL,F,2,B
9/27/89,WELL,F,3,W
9/27/89,WELL,F,3,W
9/27/89,EAST,M,6,B
9/27/89,EAST,F,4,W
9/27/89,EAST,F,4,W
9/27/89,EAST,J,3,W
9/27/89,EAST,M,5,W
9/27/89,EAST,J,1,W
9/27/89,WEST,.,.,.
10/5/89,CALI,M,3,W
10/5/89,CALI,M,5,W
10/5/89,CALI,F,3,W
10/5/89,GRAV,F,1,W
10/5/89,GRAV,F,1,W
10/5/89,SAND,.,.,.
10/5/89,SAND,M,5,W
10/5/89,SAND,F,2,W
10/5/89,SAND,M,6,W
10/5/89,SAND,M,1,W
10/5/89,SAND,M,3,W
10/5/89,BASN,.,.,.
10/5/89,IBPE,F,4,B
10/5/89,IBPE,F,.,W
10/5/89,IBPE,F,3,W
10/5/89,IBPE,M,.,W
10/5/89,IBPE,F,1,W
10/5/89,IBPE,M,2,W
10/5/89,IBPE,J,1,W
10/5/89,IBPE,F,2,W
10/5/89,IBPE,F,1,B
10/5/89,RABB,M,4,W
10/5/89,RABB,F,3,W
10/5/89,RABB,F,2,B
10/5/89,RABB,M,2,W
10/5/89,RABB,M,3,W
10/5/89,RABB,F,5,W
10/5/89,RABB,M,3,W
10/5/89,WELL,F,2,B
10/5/89,WELL,F,2,W
10/5/89,WELL,M,2,W
10/5/89,WELL,M,1,W
10/5/89,WELL,F,2,B
10/5/89,WELL,F,2,W
10/5/89,WELL,M,2,B
10/5/89,WELL,M,2,W
10/5/89,WELL,M,2,W
10/5/89,WELL,F,2,W
10/5/89,WELL,F,2,B
10/5/89,WELL,M,.,W
10/5/89,EAST,F,2,B
10/5/89,EAST,M,3,B
10/5/89,EAST,M,.,W
10/5/89,EAST,F,2,W
10/5/89,WEST,M,4,W
11/8/89,CALI,M,6,W
11/8/89,CALI,F,3,W
11/8/89,GRAV,M,4,W
11/8/89,SAND,M,7,W
11/8/89,SAND,J,2,W
11/8/89,SAND,M,7,W
11/8/89,BASN,F,5,W
11/8/89,IBPE,F,2,W
11/8/89,IBPE,J,2,W
11/8/89,IBPE,F,2,W
11/8/89,IBPE,F,4,W
11/8/89,IBPE,F,3,W
11/8/89,IBPE,M,4,W
11/8/89,IBPE,M,3,W
11/8/89,IBPE,M,3,W
11/8/89,IBPE,M,3,W
11/8/89,IBPE,F,2,B
11/8/89,IBPE,M,5,W
11/8/89,IBPE,F,3,W
11/8/89,IBPE,J,1,B
11/8/89,IBPE,F,4,W
11/8/89,IBPE,F,2,W
11/8/89,IBPE,J,1,W
11/8/89,IBPE,F,2,W
11/8/89,IBPE,F,2,W
11/8/89,IBPE,M,5,B
11/8/89,IBPE,F,3,W
11/8/89,IBPE,F,3,B
11/8/89,RABB,F,2,W
11/8/89,RABB,M,3,W
11/8/89,RABB,M,3,W
11/8/89,RABB,F,3,W
11/8/89,RABB,F,2,W
11/8/89,RABB,F,2,B
11/8/89,RABB,M,4,B
11/8/89,RABB,M,4,W
11/8/89,RABB,F,2,B
11/8/89,RABB,F,2,W
11/8/89,RABB,F,3,W
11/8/89,RABB,F,3,W
11/8/89,RABB,F,3,W
11/8/89,WELL,F,2,W
11/8/89,WELL,F,1,W
11/8/89,WELL,F,3,W
11/8/89,WELL,F,2,W
11/8/89,WELL,M,5,W
11/8/89,WELL,F,2,W
11/8/89,WELL,F,2,W
11/8/89,WELL,F,3,W
11/8/89,WELL,F,1,B
11/8/89,WELL,F,3,W
11/8/89,WELL,M,2,B
11/8/89,WELL,M,4,W
11/8/89,WELL,F,2,B
11/8/89,WELL,F,3,W
11/8/89,EAST,F,5,B
11/8/89,EAST,F,4,W
11/8/89,EAST,F,5,W
11/8/89,EAST,F,4,B
11/8/89,WEST,.,.,.
11/15/89,CALI,.,.,.
11/15/89,GRAV,M,3,W
11/15/89,GRAV,F,3,W
11/15/89,GRAV,F,2,W
11/15/89,SAND,F,3,W
11/15/89,SAND,F,1,W
11/15/89,SAND,F,4,W
11/15/89,SAND,F,2,B
11/15/89,BASN,J,1,W
11/15/89,IBPE,F,3,W
11/15/89,IBPE,F,3,W
11/15/89,IBPE,F,2,B
11/15/89,IBPE,F,2,W
11/15/89,IBPE,F,2,W
11/15/89,IBPE,F,3,W
11/15/89,IBPE,F,2,B
11/15/89,IBPE,J,1,W
11/15/89,IBPE,J,1,W
11/15/89,IBPE,F,2,B
11/15/89,EAST,F,3,W
11/15/89,RABB,F,2,W
11/15/89,RABB,.,.,.
11/15/89,RABB,F,2,W
11/15/89,RABB,M,4,W
11/15/89,RABB,M,.,W
11/15/89,RABB,F,2,W
11/15/89,WELL,M,3,W
11/15/89,WELL,M,2,W
11/15/89,WELL,M,3,W
11/15/89,WELL,F,1,B
11/15/89,WELL,F,2,W
11/15/89,WELL,F,2,W
11/15/89,WELL,F,2,B
11/15/89,WELL,M,4,W
11/15/89,WELL,M,3,W
11/15/89,EAST,F,1,W
11/15/89,WEST,.,.,.
1/4/90,CALI,.,.,.
1/4/90,GRAV,.,.,.
1/4/90,SAND,.,.,.
1/4/90,SAND,.,.,.
1/4/90,BASN,.,.,.
1/4/90,IBPE,.,.,.
1/4/90,IBPE,.,.,.
1/4/90,RABB,.,.,.
1/4/90,RABB,F,2,W
1/4/90,WELL,.,.,.
1/4/90,EAST,.,.,.
1/4/90,WEST,.,.,.
1/11/90,CALI,.,.,.
1/11/90,GRAV,.,.,.
1/11/90,SAND,F,5,W
1/11/90,BASN,.,.,.
1/11/90,IBPE,.,.,.
1/11/90,IBPE,.,.,.
1/11/90,RABB,.,.,.
1/11/90,RABB,.,.,.
1/11/90,WELL,.,.,.
1/11/90,EAST,.,.,.
1/11/90,WEST,.,.,.
3/24/90,CALI,J,2,W
3/24/90,GRAV,J,1,B
3/24/90,GRAV,M,5,W
3/24/90,SAND,.,.,.
3/24/90,SAND,.,.,.
3/24/90,BASN,.,.,.
3/24/90,IBPE,M,4,B
3/24/90,IBPE,F,3,W
3/24/90,IBPE,F,3,W
3/24/90,IBPE,F,3,B
3/24/90,IBPE,F,3,B
3/24/90,IBPE,F,2,W
3/24/90,IBPE,F,3,W
3/24/90,RABB,M,4,W
3/24/90,RABB,F,3,W
3/24/90,RABB,F,4,W
3/24/90,RABB,M,5,W
3/24/90,WELL,M,5,B
3/24/90,EAST,M,5,W
3/24/90,WEST,.,.,.
3/30/90,CALI,F,5,W
3/30/90,CALI,M,5,W
3/30/90,CALI,F,3,W
3/30/90,CALI,F,4,W
3/30/90,GRAV,F,4,W
3/30/90,SAND,M,2,W
3/30/90,BASN,.,.,.
3/30/90,IBPE,F,4,B
3/30/90,IBPE,M,4,W
3/30/90,IBPE,M,4,B
3/30/90,IBPE,F,2,B
3/30/90,IBPE,F,3,B
3/30/90,IBPE,F,4,W
3/30/90,RABB,F,3,W
3/30/90,RABB,F,3,W
3/30/90,WELL,M,2,B
3/30/90,WELL,J,1,W
3/30/90,WELL,F,2,B
3/30/90,EAST,F,6,W
3/30/90,EAST,F,4,W
3/30/90,WEST,.,.,.
4/20/90,CALI,J,2,W
4/20/90,CALI,F,7,W
4/20/90,CALI,F,4,W
4/20/90,GRAV,M,14,W
4/20/90,GRAV,F,3,W
4/20/90,GRAV,F,2,W
4/20/90,SAND,F,3,W
4/20/90,SAND,F,5,W
4/20/90,BASN,F,3,W
4/20/90,IBPE,F,3,W
4/20/90,IBPE,F,4,W
4/20/90,RABB,F,4,W
4/20/90,RABB,F,4,W
4/20/90,RABB,M,4,B
4/20/90,RABB,M,10,W
4/20/90,RABB,F,7,W
4/20/90,WELL,.,.,.
4/20/90,EAST,.,.,.
4/20/90,WEST,.,.,.
4/27/90,CALI,F,5,B
4/27/90,CALI,F,9,W
4/27/90,CALI,M,14,W
4/27/90,CALI,.,.,.
4/27/90,GRAV,.,.,.
4/27/90,SAND,F,23,W
4/27/90,SAND,.,.,.
4/27/90,BASN,F,1,W
4/27/90,IBPE,F,3,W
4/27/90,IBPE,J,4,W
4/27/90,IBPE,J,4,B
4/27/90,IBPE,F,3,W
4/27/90,RABB,F,7,W
4/27/90,RABB,M,8,W
